MSSubClass,LotFrontage,LotArea,Street,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,GarageYrBlt_missing_ind,LotFrontage_missing_ind,MasVnrArea_missing_ind,1stFlrSF_log,1stFlr_2ndFlr_SF,OverallGrade,SimplGarageQual
120,60.0,7313,2,4,4,3,9,5,2005,2005,246.0,5,3,5,3,6,1153,1,0,408,1561,5,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,2005.0,2,556,3,3,2,203,47,0,0,0,0,0,8,2007,277500,0,0,0,7.353081920515432,1561,45,1
60,108.0,13418,2,4,4,3,8,5,2004,2005,132.0,4,3,5,3,1,0,1,0,1117,1117,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,2004.0,3,691,3,3,2,113,32,0,0,0,0,0,9,2006,309000,0,0,0,7.0317412587631285,2452,40,1
20,112.0,10859,2,4,4,3,5,5,1994,1995,0.0,3,3,4,3,1,0,1,0,1097,1097,5,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,1995.0,2,672,3,3,2,392,64,0,0,0,0,0,6,2009,145000,0,0,0,7.00033446027523,1097,25,1
20,74.0,8532,2,4,4,3,5,6,1954,1990,650.0,3,3,3,3,3,1213,1,0,84,1297,4,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,1954.0,2,498,3,3,2,0,0,0,0,0,0,0,10,2009,153000,0,0,0,7.167809184316444,1297,30,1
20,68.0,7922,2,4,4,3,5,7,1953,2007,0.0,3,4,3,3,6,731,1,0,326,1057,3,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,1953.0,1,246,3,3,2,0,52,0,0,0,0,0,1,2010,109000,0,0,0,6.963189985870238,1057,35,1
90,65.0,6040,2,4,4,3,4,5,1955,1955,0.0,3,3,0,0,0,0,0,0,0,0,3,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,82000,1,0,0,7.049254841255837,1152,20,0
20,84.0,8658,2,4,4,3,6,5,1965,1965,101.0,3,3,3,3,3,643,1,0,445,1088,5,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,1965.0,2,440,3,3,2,0,138,0,0,0,0,0,12,2006,160000,0,0,0,7.188412736496954,1324,30,1
20,115.0,16905,2,4,4,3,5,6,1959,1959,0.0,3,4,3,3,4,967,1,0,383,1350,4,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,1959.0,1,308,3,3,1,0,104,0,0,0,0,0,7,2007,170000,0,0,0,7.191429330036379,1328,30,1
85,69.79733110925771,9180,2,3,4,3,5,7,1983,1983,0.0,3,3,4,3,5,747,2,93,0,840,4,884,0,0,884,1,0,1,0,2,1,4,5,8,0,1983.0,2,504,3,4,2,240,0,0,0,0,0,0,12,2007,144000,0,1,0,6.784457062637643,884,35,1
20,69.79733110925771,9200,2,3,4,3,5,6,1975,1980,0.0,3,3,4,3,2,280,4,491,167,938,3,938,0,0,938,1,0,1,0,3,1,3,5,8,0,1977.0,1,308,3,3,2,145,0,0,0,0,0,0,7,2008,130250,0,1,0,6.843749949006225,938,30,1
20,70.0,7945,2,4,4,3,5,6,1959,1959,0.0,3,3,3,3,5,179,4,506,465,1150,5,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,1959.0,1,300,3,3,2,0,0,0,0,0,0,0,5,2006,141000,0,0,0,7.047517221357296,1150,30,1
120,61.0,7658,2,4,4,3,9,5,2005,2005,412.0,5,3,5,3,6,456,1,0,1296,1752,5,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,2005.0,2,576,3,3,2,196,82,0,0,0,0,0,2,2010,319900,0,0,0,7.468513271496337,1752,45,1
50,48.0,12822,2,3,4,3,7,5,2003,2003,0.0,4,3,5,3,6,1351,1,0,83,1434,5,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,2003.0,2,670,3,3,2,168,43,0,0,198,0,0,8,2009,239686,0,0,0,7.325148957955575,2149,35,1
20,84.0,11096,2,4,4,3,8,5,2006,2006,0.0,4,3,4,3,6,24,1,0,1632,1656,5,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,2006.0,3,826,3,3,2,0,146,0,0,0,0,0,7,2007,249700,0,0,0,7.412160334945205,1656,40,1
190,33.0,4456,2,4,4,3,4,5,1920,2008,0.0,3,3,3,3,1,0,1,0,736,736,4,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,1900.0,0,0,0,0,0,0,0,102,0,0,0,0,6,2009,113000,1,0,0,6.601230118728877,1452,20,0
20,66.0,7742,2,4,4,3,5,7,1966,1966,0.0,3,3,3,3,4,763,1,0,192,955,5,955,0,0,955,1,0,1,0,3,1,3,6,8,0,1966.0,1,386,3,3,2,0,0,0,0,0,0,0,1,2007,127000,0,0,0,6.86171134048073,955,35,1
60,69.79733110925771,13869,2,2,4,3,6,6,1997,1997,0.0,3,3,4,3,6,182,1,0,612,794,4,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,1997.0,2,388,3,3,2,0,75,0,0,0,0,0,7,2007,177000,0,1,0,6.677083461247136,1470,36,1
50,52.0,6240,2,4,4,3,6,6,1934,1950,0.0,3,3,3,3,1,0,1,0,816,816,3,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,1985.0,2,528,3,3,2,112,0,0,0,0,0,400,9,2006,114500,0,0,0,6.704414354964107,816,36,1
90,110.0,8472,1,2,4,2,5,5,1963,1963,0.0,2,3,4,3,2,104,6,712,0,816,3,816,0,0,816,1,0,1,0,2,1,3,5,8,0,1963.0,2,516,3,3,2,106,0,0,0,0,0,0,5,2010,110000,0,0,0,6.704414354964107,816,25,1
20,68.0,50271,2,3,4,3,9,5,1981,1987,0.0,4,3,5,3,6,1810,1,0,32,1842,4,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,1981.0,3,894,3,3,2,857,72,0,0,0,0,0,11,2006,385000,0,0,0,7.518607216815252,1842,45,1
80,60.0,7134,2,4,4,2,5,5,1955,1955,0.0,3,3,3,3,5,384,1,0,0,384,3,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,1962.0,2,572,3,3,2,0,50,0,0,0,0,0,2,2007,130000,0,0,0,7.215239978730097,1360,25,1
20,100.0,10175,2,3,4,3,6,5,1964,1964,272.0,3,3,3,3,4,490,1,0,935,1425,4,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,1964.0,2,576,3,3,2,0,0,0,407,0,0,0,7,2008,180500,0,0,0,7.261927092702751,1425,30,1
160,24.0,2645,2,4,4,3,8,5,1999,2000,456.0,4,3,4,3,6,649,1,0,321,970,5,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,1999.0,2,480,3,3,2,115,0,0,0,0,0,0,8,2009,172500,0,0,0,6.890609120147166,1739,40,1
60,89.0,11645,2,3,4,3,7,5,2004,2004,0.0,4,3,4,3,1,0,1,0,860,860,5,860,860,0,1720,0,0,2,1,3,1,4,7,8,0,2004.0,2,565,3,3,2,0,70,0,0,0,0,0,8,2006,196500,0,0,0,6.756932389247553,1720,35,1
60,66.0,13682,2,2,4,3,10,5,2006,2006,1031.0,5,3,5,3,1,0,1,0,1410,1410,5,1426,1519,0,2945,0,0,3,1,3,1,4,10,8,1,2006.0,3,641,3,3,2,192,0,37,0,0,0,0,10,2006,438780,0,0,0,7.262628600974241,2945,50,1
20,60.0,7200,2,4,4,3,5,7,1972,1972,0.0,3,3,3,3,5,632,1,0,148,780,5,780,0,0,780,0,0,1,0,2,1,3,4,8,0,1973.0,1,352,3,3,2,196,0,0,0,0,0,0,1,2008,124900,0,0,0,6.659293919683638,780,35,1
20,63.0,13072,2,4,4,3,6,5,2004,2004,0.0,3,3,4,3,5,941,1,0,217,1158,5,1158,0,0,1158,1,0,1,1,3,1,4,5,8,0,2006.0,2,576,3,3,2,0,50,0,0,0,0,0,5,2006,158000,0,0,0,7.05444965813294,1158,30,1
75,60.0,7200,2,4,4,3,5,7,1920,1996,0.0,3,3,3,2,1,0,1,0,530,530,3,581,530,0,1111,0,0,1,0,3,1,2,6,8,0,1935.0,1,288,3,3,0,0,0,144,0,0,0,0,3,2007,101000,0,0,0,6.364750756851911,1111,35,1
120,44.0,6442,2,3,4,3,8,5,2006,2006,178.0,4,3,4,4,6,24,1,0,1346,1370,5,1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,2006.0,2,484,3,3,2,120,49,0,0,0,0,0,10,2007,202500,0,0,0,7.222566018822171,1370,40,1
70,50.0,10300,2,3,4,3,7,6,1921,1950,0.0,3,3,3,3,1,0,1,0,576,576,4,902,808,0,1710,0,0,2,0,3,1,3,9,8,0,1990.0,2,480,3,3,2,12,11,64,0,0,0,0,4,2010,140000,0,0,0,6.804614520062624,1710,42,1
60,69.79733110925771,9375,2,4,4,3,7,5,1997,1998,573.0,3,3,4,3,6,739,1,0,318,1057,5,1057,977,0,2034,1,0,2,1,3,1,4,8,8,0,1998.0,2,645,3,3,2,576,36,0,0,0,0,0,2,2009,219500,0,1,0,6.963189985870238,2034,35,1
60,76.0,9591,2,4,4,3,8,5,2004,2005,344.0,4,3,5,3,1,0,1,0,1143,1143,5,1143,1330,0,2473,0,0,2,1,4,1,4,9,8,1,2004.0,3,852,3,3,2,192,151,0,0,0,0,0,10,2007,317000,0,0,0,7.04141166379481,2473,40,1
20,69.79733110925771,19900,2,4,4,3,7,5,1970,1989,287.0,3,3,4,3,6,912,1,0,1035,1947,3,2207,0,0,2207,1,0,2,0,3,1,3,7,7,1,1970.0,2,576,3,3,2,301,0,0,0,0,0,0,7,2010,180000,0,1,0,7.699389406256737,2207,35,1
20,72.0,10665,2,3,4,3,7,5,2003,2003,167.0,4,3,4,3,6,1013,1,0,440,1453,5,1479,0,0,1479,1,0,2,0,3,1,4,7,8,0,2003.0,2,558,3,3,2,144,29,0,0,0,0,0,6,2007,226000,0,0,0,7.2991214627108,1479,35,1
30,47.0,4608,2,4,4,3,4,6,1945,1950,0.0,3,4,3,3,1,0,1,0,747,747,3,747,0,0,747,0,0,1,0,2,1,3,4,8,0,1945.0,1,220,3,3,2,0,0,0,0,0,0,0,6,2010,80000,0,0,0,6.616065185132817,747,24,1
50,81.0,15593,2,4,4,3,7,4,1953,1953,0.0,4,3,3,3,4,603,1,0,701,1304,3,1304,983,0,2287,0,0,2,0,3,1,3,7,8,1,1953.0,2,667,3,3,2,0,21,114,0,0,0,0,7,2006,225000,0,0,0,7.1731917424865985,2287,28,1
20,95.0,13651,2,3,4,3,7,6,1973,1973,1115.0,3,4,4,3,5,1880,1,0,343,2223,5,2223,0,0,2223,1,0,2,0,3,1,3,8,8,2,1973.0,2,516,3,3,2,300,0,0,0,0,0,0,2,2007,244000,0,0,0,7.706612913964197,2223,42,1
20,69.0,7599,2,4,4,3,4,6,1982,2006,0.0,3,3,3,3,5,565,1,0,280,845,3,845,0,0,845,1,0,1,0,2,1,3,4,8,0,1987.0,2,360,3,3,2,0,0,0,0,0,0,0,6,2007,129500,0,0,0,6.739336627357174,845,24,1
60,74.0,10141,2,3,4,3,7,5,1998,1998,40.0,3,3,4,3,1,0,1,0,832,832,4,885,833,0,1718,0,0,2,1,3,1,3,7,8,1,1998.0,2,427,3,3,2,0,94,0,0,291,0,0,12,2009,185000,0,0,0,6.785587645007929,1718,35,1
20,85.0,10200,2,4,4,3,5,7,1954,2003,104.0,3,3,3,3,5,320,4,362,404,1086,4,1086,0,0,1086,1,0,1,0,3,1,3,6,8,0,1989.0,2,490,3,3,2,0,0,0,0,0,0,0,5,2010,144900,0,0,0,6.990256500493881,1086,35,1
50,60.0,5790,2,4,4,3,3,6,1915,1950,0.0,4,4,2,3,1,0,1,0,840,840,4,840,765,0,1605,0,0,2,0,3,2,3,8,8,0,1915.0,1,379,3,3,2,0,0,202,0,0,0,0,5,2010,107400,0,0,0,6.733401891837359,1605,18,1
180,21.0,1596,2,4,4,3,4,5,1973,1973,0.0,3,3,4,3,6,462,1,0,0,462,3,526,462,0,988,1,0,1,0,2,1,3,5,8,0,1973.0,1,297,3,3,2,120,101,0,0,0,0,0,11,2009,91000,0,0,0,6.26530121273771,988,20,1
20,69.79733110925771,8475,2,3,4,3,4,7,1956,1956,0.0,3,3,3,3,5,228,1,0,724,952,5,952,0,0,952,0,0,1,0,2,1,3,4,8,0,1956.0,1,283,3,3,2,0,0,0,0,0,0,0,4,2008,135750,0,1,0,6.858565034791365,952,28,1
50,50.0,8635,2,4,4,3,5,5,1948,2001,0.0,3,3,3,3,4,336,6,41,295,672,3,1072,213,0,1285,1,0,1,0,2,1,3,6,7,0,1948.0,1,240,3,3,2,0,0,0,0,0,0,0,1,2008,127000,0,0,0,6.977281341630747,1285,25,1
90,72.0,10778,2,4,4,3,4,5,1968,1968,0.0,3,3,3,3,1,0,1,0,1768,1768,3,1768,0,0,1768,0,0,2,0,4,2,3,8,8,0,1900.0,0,0,0,0,2,0,0,0,0,0,0,0,4,2010,136500,1,0,0,7.477604243197589,1768,20,0
50,60.0,10440,2,4,4,3,5,6,1910,1981,0.0,3,3,3,3,1,0,1,0,440,440,4,682,548,0,1230,0,0,1,1,2,1,3,5,8,0,1966.0,2,440,3,3,2,74,0,128,0,0,0,0,5,2009,110000,0,0,0,6.525029657843462,1230,30,1
60,100.0,13000,2,4,4,3,6,6,1968,1968,576.0,3,4,4,3,3,448,1,0,448,896,3,1182,960,0,2142,0,0,2,1,4,1,4,8,8,1,1968.0,1,509,3,3,2,0,72,0,0,252,0,0,6,2009,193500,0,0,0,7.074963197966044,2142,36,1
120,32.0,4500,2,4,4,3,6,5,1998,1998,443.0,3,4,5,4,6,1201,1,0,36,1237,5,1337,0,0,1337,1,0,2,0,2,1,3,5,8,0,1998.0,2,405,3,3,2,0,199,0,0,0,0,0,3,2006,153500,0,0,0,7.198183577101943,1337,30,1
20,78.0,10206,2,4,4,3,8,5,2007,2007,468.0,3,3,4,3,6,33,1,0,1530,1563,5,1563,0,0,1563,0,0,2,0,3,1,4,6,8,1,2007.0,3,758,3,3,2,144,99,0,0,0,0,0,10,2008,245000,0,0,0,7.354362330421477,1563,40,1
20,80.0,8892,2,3,4,3,5,5,1960,1960,66.0,3,3,3,3,1,0,1,0,1065,1065,4,1065,0,0,1065,0,0,1,1,3,1,3,6,8,0,1974.0,2,461,3,3,2,74,0,0,0,0,0,0,7,2007,126500,0,0,0,6.970730078143525,1065,25,1
80,69.79733110925771,8530,2,3,4,3,7,5,1995,1996,22.0,3,3,4,3,1,0,1,0,384,384,4,804,670,0,1474,0,0,2,1,3,1,3,7,8,1,1995.0,2,400,3,3,2,120,72,0,0,0,0,700,5,2009,168500,0,1,0,6.6895992691789665,1474,35,1
60,121.0,16059,2,4,4,3,8,5,1991,1992,284.0,4,3,4,3,1,0,1,0,1288,1288,5,1301,1116,0,2417,0,0,2,1,4,1,4,9,8,1,1991.0,2,462,3,3,2,127,82,0,0,0,0,0,4,2006,260000,0,0,0,7.170888478512505,2417,40,1
60,122.0,11911,2,2,4,3,6,5,2005,2005,0.0,4,3,4,3,1,0,1,0,684,684,5,684,876,0,1560,0,0,2,1,3,1,4,6,8,1,2005.0,2,400,3,3,2,100,38,0,0,0,0,0,3,2009,174000,0,0,0,6.52795791762255,1560,30,1
160,40.0,3951,2,4,4,3,6,5,2009,2009,76.0,4,3,4,3,1,0,1,0,612,612,5,612,612,0,1224,0,0,2,1,2,1,4,4,8,0,2009.0,2,528,3,3,2,0,234,0,0,0,0,0,6,2009,164500,0,0,0,6.416732282512326,1224,30,1
50,105.0,8470,2,3,4,3,3,2,1915,1982,0.0,2,2,3,2,1,0,1,0,1013,1013,3,1013,0,513,1526,0,0,1,0,2,1,2,6,8,0,1900.0,0,0,0,0,0,0,0,156,0,0,0,0,10,2009,85000,1,0,0,6.920671504248683,1013,6,0
20,60.0,8070,2,4,4,3,4,5,1994,1995,0.0,3,3,4,3,6,588,1,0,402,990,5,990,0,0,990,1,0,1,0,3,1,3,5,8,0,1900.0,0,0,0,0,2,0,0,0,0,0,0,0,8,2007,123600,1,0,0,6.897704943128636,990,20,0
20,60.0,7200,2,4,4,3,4,5,1950,1950,0.0,3,3,0,0,0,0,0,0,0,0,3,1040,0,0,1040,0,0,1,0,2,1,3,4,8,0,1950.0,2,420,3,3,2,0,29,0,0,0,0,0,7,2006,109900,0,0,0,6.946975992135418,1040,20,1
